Data Set,Avg Accuracy with BCS,Std. Dev,Avg Accuracy without BCS,Std. Dev,Original Component Size,Component size after BCS, AddedDiv
segment, 0.967100,0.008463,0.856277,0.073658,460.800000,5.600000, 0.000000
thyroid, 0.995000,0.002793,0.942500,0.003221,738.000000,14.500000, 0.000000
ecoli, 0.839572,0.043456,0.851783,0.065540,212.400000,9.100000, 0.000000
glass, 0.990909,0.019165,0.967749,0.037607,172.800000,16.200000, 0.000000
breast-cancer-wisconsin, 0.959938,0.023143,0.967101,0.024320,320.400000,15.900000, 0.000000
iris, 0.960000,0.064406,0.933333,0.104231,176.400000,25.200000, 0.000000
liver, 0.675714,0.076990,0.681261,0.046213,216.000000,8.900000, 0.000000
haberman, 0.738710,0.047138,0.751613,0.049228,216.000000,12.700000, 0.000000
sonar, 0.779762,0.073474,0.793810,0.083331,144.000000,8.100000, 0.000000
diabetic_retinopathy, 0.744580,0.061597,0.692414,0.063791,360.000000,9.200000, 0.000000
ionosphere, 0.863333,0.061149,0.917460,0.043296,176.400000,8.000000, 0.000000
segment, 0.969264,0.009451,0.846753,0.058444,457.200000,6.700000, 0.000000
wine, 0.983333,0.026836,0.972222,0.053990,198.000000,35.100000, 0.000000
thyroid, 0.994722,0.002762,0.942222,0.002191,741.600000,15.600000, 0.000000
vehicle, 0.814468,0.045949,0.758852,0.037858,324.000000,2.400000, 0.000000
glass, 0.990476,0.020078,0.934199,0.051122,176.400000,16.200000, 0.000000
ecoli, 0.836364,0.061053,0.854456,0.054301,216.000000,5.800000, 0.000000
liver, 0.710084,0.054753,0.692773,0.066862,216.000000,4.800000, 0.000000
iris, 0.960000,0.046614,0.946667,0.052587,180.000000,21.900000, 0.000000
sonar, 0.735238,0.094506,0.797857,0.074455,144.000000,9.800000, 0.000000
breast-cancer-wisconsin, 0.969876,0.022124,0.965611,0.023705,334.800000,37.500000, 0.000000
haberman, 0.721935,0.072240,0.728495,0.070202,216.000000,6.100000, 0.000000
diabetic_retinopathy, 0.738516,0.043448,0.678568,0.037713,360.000000,10.500000, 0.000000
wine, 0.972222,0.039284,0.961111,0.045737,187.200000,36.100000, 0.000000
ionosphere, 0.880159,0.060119,0.908730,0.055317,190.800000,5.600000, 0.000000
vehicle, 0.790868,0.040417,0.751765,0.046324,334.800000,4.900000, 0.000000
segment, 0.965368,0.011362,0.870130,0.092013,442.800000,8.300000, 0.000000
thyroid, 0.995278,0.003415,0.941806,0.003492,745.200000,12.000000, 0.000000
ecoli, 0.848217,0.056492,0.857308,0.056943,216.000000,6.900000, 0.000000
glass, 0.985931,0.022661,0.972078,0.044223,165.600000,15.600000, 0.000000
liver, 0.677311,0.086532,0.703866,0.055378,216.000000,3.400000, 0.000000
breast-cancer-wisconsin, 0.962816,0.015332,0.959959,0.029182,320.400000,23.600000, 0.000000
iris, 0.960000,0.034427,0.946667,0.042164,176.400000,22.500000, 0.000000
haberman, 0.721720,0.084957,0.744946,0.059221,216.000000,12.800000, 0.000000
sonar, 0.783333,0.069742,0.830714,0.082909,140.400000,9.500000, 0.000000
diabetic_retinopathy, 0.735037,0.028181,0.670712,0.027736,360.000000,8.100000, 0.000000
wine, 0.971242,0.041101,0.971569,0.029993,190.800000,33.700000, 0.000000
ionosphere, 0.868810,0.070420,0.911587,0.047643,198.000000,5.500000, 0.000000
vehicle, 0.793179,0.040744,0.762367,0.030573,338.400000,4.500000, 0.000000
segment, 0.964069,0.013390,0.884416,0.059917,446.400000,6.300000, 0.000000
thyroid, 0.995694,0.001903,0.941944,0.002342,748.800000,13.500000, 0.000000
glass, 0.990693,0.019628,0.962121,0.058502,176.400000,15.000000, 0.000000
ecoli, 0.821480,0.054261,0.863280,0.039488,216.000000,7.900000, 0.000000
iris, 0.980000,0.032203,0.953333,0.044997,180.000000,16.000000, 0.000000
liver, 0.673109,0.105587,0.698571,0.065145,212.400000,8.100000, 0.000000
breast-cancer-wisconsin, 0.957019,0.038252,0.970000,0.023762,331.200000,20.800000, 0.000000
haberman, 0.686452,0.090975,0.758387,0.036738,216.000000,7.200000, 0.000000
sonar, 0.796905,0.123779,0.826190,0.067540,147.600000,7.000000, 0.000000
diabetic_retinopathy, 0.724550,0.045677,0.681117,0.053782,360.000000,9.500000, 0.000000
ionosphere, 0.871905,0.083040,0.909048,0.036504,198.000000,8.200000, 0.000000
segment, 0.961039,0.015938,0.853247,0.070262,457.200000,6.200000, 0.000000
wine, 0.966013,0.029278,0.966013,0.029278,194.400000,34.700000, 0.000000
thyroid, 0.994028,0.003143,0.942083,0.003931,752.400000,14.400000, 0.000000
vehicle, 0.814468,0.038633,0.764776,0.036770,345.600000,3.100000, 0.000000
ecoli, 0.851159,0.050397,0.851248,0.055719,216.000000,6.600000, 0.000000
glass, 0.985931,0.022661,0.966883,0.039122,187.200000,17.400000, 0.000000
iris, 0.953333,0.054885,0.886667,0.137167,180.000000,27.400000, 0.000000
liver, 0.672185,0.086979,0.710084,0.061375,216.000000,4.700000, 0.000000
breast-cancer-wisconsin, 0.957060,0.025251,0.968489,0.029282,327.600000,28.200000, 0.000000
sonar, 0.793333,0.070851,0.802381,0.110092,144.000000,7.000000, 0.000000
haberman, 0.728387,0.048569,0.744946,0.065055,216.000000,16.700000, 0.000000
diabetic_retinopathy, 0.739408,0.034004,0.672526,0.046802,360.000000,8.600000, 0.000000
ionosphere, 0.894603,0.040456,0.914444,0.035779,194.400000,5.000000, 0.000000
wine, 0.977451,0.029126,0.966340,0.039066,205.200000,33.000000, 0.000000
vehicle, 0.807409,0.031897,0.763487,0.042340,334.800000,4.200000, 0.000000
